txn_id,user_id,raw_description,cleaned_description,merchant_name,amount,txn_type,payment_mode,category,subcategory,confidence_score,txn_timestamp,month,day_of_week,hour,is_recurring,avg_spend_per_category,spend_std_dev,monthly_surplus,expense_volatility,balance_after_txn,user_corrected_label
2074,1,PAYTM WALLET* 9458,paytm wallet 9458,Paytm,3738.01,debit,Credit Card,Finance,Wallet Top-up,0.7684,2024-01-01 08:27:00,1,0,8,0,9331.17,6864.04,-20861.46,10401.76,-3738.01,Finance
2149,1,NETFLIX INDIA 4412,netflix india 4412,Netflix,660.89,transfer,NEFT,Entertainment,Streaming,0.803,2024-01-03 11:47:00,1,2,11,1,,,-20861.46,10401.76,-4398.9,Entertainment
1401,1,SBI MUTUAL FUND SIP 2639,sbi mutual fund sip 2639,SBI MF,5237.06,debit,Credit Card,Investments,Mutual Fund,0.9387,2024-01-07 21:52:00,1,6,21,1,9038.92,9041.89,-20861.46,10401.76,-9635.96,Investments
1295,1,ZERODHA* 8870,zerodha 8870,Zerodha,4885.59,debit,Debit Card,Investments,Stock Trading,0.7959,2024-01-10 15:56:00,1,2,15,0,9038.92,9041.89,-20861.46,10401.76,-14521.55,Investments
1760,1,FLIPKART INTERNET 2169,flipkart internet 2169,Flipkart,4809.43,debit,IMPS,Shopping,E-commerce,0.9298,2024-01-11 17:39:00,1,3,17,0,3549.43,1974.19,-20861.46,10401.76,-19330.98,Food & Dining
1749,1,Jio Recharge 3169,jio recharge 3169,Jio,633.47,debit,Debit Card,Utilities,Mobile Recharge,0.9873,2024-01-17 08:29:00,1,2,8,1,486.89,245.68,-20861.46,10401.76,-19964.45,Utilities
1083,1,Jio Recharge 9807,jio recharge 9807,Jio,307.05,debit,Cash,Utilities,Mobile Recharge,0.9969,2024-01-24 15:35:00,1,2,15,1,486.89,245.68,-20861.46,10401.76,-20271.5,Utilities
1414,1,HOTSTAR PREMIUM 2328,hotstar premium 2328,Hotstar,1022.64,debit,NEFT,Entertainment,Streaming,0.7495,2024-01-25 06:05:00,1,3,6,1,465.35,369.79,-20861.46,10401.76,-21294.14,Entertainment
572,1,Jio Recharge 1901,jio recharge 1901,Jio,228.21,debit,Credit Card,Utilities,Mobile Recharge,0.8338,2024-01-26 18:39:00,1,4,18,1,486.89,245.68,-20861.46,10401.76,-21522.35,Food & Dining
2008,1,NETFLIX INDIA 9662,netflix india 9662,Netflix,465.99,debit,Net Banking,Entertainment,Streaming,0.8363,2024-02-02 22:40:00,2,4,22,1,465.35,369.79,534.04,10401.76,-21988.34,Entertainment
1123,1,BANK INTEREST 6468,bank interest 6468,Bank,1891.62,credit,NEFT,Income,Interest,0.937,2024-02-02 22:55:00,2,4,22,0,,,534.04,10401.76,-20096.72,Income
638,1,NETFLIX INDIA 9108,netflix india 9108,Netflix,261.08,debit,Debit Card,Entertainment,Streaming,0.9118,2024-02-06 21:16:00,2,1,21,1,465.35,369.79,534.04,10401.76,-20357.8,Entertainment
177,1,BANK INTEREST 9116,bank interest 9116,Bank,1508.18,credit,Debit Card,Income,Interest,0.7843,2024-02-08 11:26:00,2,3,11,0,,,534.04,10401.76,-18849.62,Income
305,1,Airtel Xstream 5400,airtel xstream 5400,Airtel,374.76,debit,NEFT,Utilities,Broadband,0.6616,2024-02-09 18:56:00,2,4,18,1,486.89,245.68,534.04,10401.76,-19224.38,Utilities
560,1,GROFERS/BLINKIT 4354,grofers blinkit 4354,Blinkit,750.18,debit,Debit Card,Groceries,Quick Commerce,0.8945,2024-02-11 17:23:00,2,6,17,0,1470.46,978.35,534.04,10401.76,-19974.56,Groceries
538,1,ZOMATO* 8509,zomato 8509,Zomato,255.69,debit,Credit Card,Food & Dining,Food Delivery,0.9421,2024-02-13 18:07:00,2,1,18,0,349.94,172.7,534.04,10401.76,-20230.25,Food & Dining
2054,1,NETFLIX INDIA 8110,netflix india 8110,Netflix,405.44,debit,UPI,Entertainment,Streaming,0.6346,2024-02-19 16:59:00,2,0,16,1,465.35,369.79,534.04,10401.76,-20635.69,Entertainment
981,1,OLA CABS* 5709,ola cabs 5709,Ola,352.62,debit,IMPS,Transport,Cab,0.9857,2024-02-28 09:35:00,2,2,9,0,810.21,844.02,534.04,10401.76,-20988.31,Shopping
1998,1,PRACTO CONSULT 1242,practo consult 1242,Practo,370.48,debit,Debit Card,Healthcare,Consultation,0.8734,2024-03-03 08:25:00,3,6,8,0,793.86,497.86,-4137.42,10401.76,-21358.79,Healthcare
1735,1,ZOMATO* 3317,zomato 3317,Zomato,440.84,debit,Credit Card,Food & Dining,Food Delivery,0.87,2024-03-06 10:46:00,3,2,10,0,349.94,172.7,-4137.42,10401.76,-21799.63,Food & Dining
711,1,BANK INTEREST 8075,bank interest 8075,Bank,41.78,credit,Cash,Income,Interest,0.7164,2024-03-07 10:03:00,3,3,10,0,,,-4137.42,10401.76,-21757.85,Income
580,1,GROFERS/BLINKIT 8799,grofers blinkit 8799,Blinkit,907.42,debit,Cash,Groceries,Quick Commerce,0.8697,2024-03-09 17:37:00,3,5,17,0,1470.46,978.35,-4137.42,10401.76,-22665.27,Groceries
2147,1,GROFERS/BLINKIT 6832,grofers blinkit 6832,Blinkit,483.22,debit,IMPS,Groceries,Quick Commerce,0.9681,2024-03-09 17:47:00,3,5,17,0,1470.46,978.35,-4137.42,10401.76,-23148.49,Groceries
1807,1,SPOTIFY INDIA 3573,spotify india 3573,Spotify,76.74,debit,Debit Card,Entertainment,Music Streaming,0.89,2024-03-10 21:15:00,3,6,21,1,465.35,369.79,-4137.42,10401.76,-23225.23,Entertainment
963,1,BYJU'S SUBSCRIPTION 8761,byju's subscription 8761,Byjus,1060.51,debit,Cash,Education,Online Learning,0.757,2024-03-14 16:11:00,3,3,16,0,2225.87,1205.15,-4137.42,10401.76,-24285.74,Education
960,1,IRCTC E-TICKET 3851,irctc e ticket 3851,IRCTC,180.85,debit,NEFT,Travel,Train Tickets,0.882,2024-03-15 20:48:00,3,4,20,0,4820.38,7338.63,-4137.42,10401.76,-24466.59,Transport
1461,1,ZOMATO* 8424,zomato 8424,Zomato,343.55,transfer,Net Banking,Food & Dining,Food Delivery,0.9574,2024-03-23 15:40:00,3,5,15,0,,,-4137.42,10401.76,-24810.14,Food & Dining
1247,1,OLA CABS* 5358,ola cabs 5358,Ola,84.01,debit,Cash,Transport,Cab,0.8808,2024-03-24 22:31:00,3,6,22,0,810.21,844.02,-4137.42,10401.76,-24894.15,Groceries
1886,1,FLIPKART INTERNET 1485,flipkart internet 1485,Flipkart,575.13,debit,Credit Card,Shopping,E-commerce,0.8567,2024-03-28 10:35:00,3,3,10,0,3549.43,1974.19,-4137.42,10401.76,-25469.28,Utilities
1717,1,BigBasket 8045,bigbasket 8045,BigBasket,2211.91,debit,Net Banking,Groceries,Online Grocery,0.9822,2024-04-01 10:19:00,4,0,10,0,1470.46,978.35,84715.58,10401.76,-27681.19,Groceries
1348,1,Jio Recharge 7009,jio recharge 7009,Jio,577.75,debit,UPI,Utilities,Mobile Recharge,0.5991,2024-04-04 10:03:00,4,3,10,1,486.89,245.68,84715.58,10401.76,-28258.94,Utilities
950,1,Jio Recharge 8271,jio recharge 8271,Jio,268.73,debit,Net Banking,Utilities,Mobile Recharge,0.8421,2024-04-09 13:13:00,4,1,13,1,486.89,245.68,84715.58,10401.76,-28527.67,Utilities
1283,1,FLIPKART INTERNET 1447,flipkart internet 1447,Flipkart,4907.45,debit,NEFT,Shopping,E-commerce,0.9847,2024-04-10 19:44:00,4,2,19,0,3549.43,1974.19,84715.58,10401.76,-33435.12,Shopping
26,1,HDFC BANK EMI 6718,hdfc bank emi 6718,HDFC EMI,14074.45,debit,Credit Card,Finance,Loan EMI,0.8518,2024-04-12 08:34:00,4,4,8,1,9331.17,6864.04,84715.58,10401.76,-47509.57,Finance
928,1,PAYTM WALLET* 5395,paytm wallet 5395,Paytm,237.5,debit,IMPS,Finance,Wallet Top-up,0.8176,2024-04-13 14:14:00,4,5,14,0,9331.17,6864.04,84715.58,10401.76,-47747.07,Finance
1310,1,SALARY CREDIT 7934,salary credit 7934,Employer,42474.07,credit,Wallet,Income,Salary,0.7382,2024-04-20 23:34:00,4,5,23,0,,,84715.58,10401.76,-5273.0,Utilities
230,1,SALARY CREDIT 6422,salary credit 6422,Employer,70434.89,credit,Credit Card,Income,Salary,0.8548,2024-04-21 11:59:00,4,6,11,0,,,84715.58,10401.76,65161.89,Shopping
510,1,D-MART AVENUE 7459,d mart avenue 7459,DMart,3933.74,debit,UPI,Groceries,Supermarket,0.7706,2024-04-22 15:55:00,4,0,15,0,1470.46,978.35,84715.58,10401.76,61228.15,Groceries
