txn_id,user_id,account_id,merchant_id,amount,txn_type,category,subcategory,raw_description,clean_description,payment_mode,user_verified,is_recurring,confidence_score,balance_after_txn,txn_timestamp,cat_method,source_type,is_anomalous,anomaly_score,user_verified_category,location,recurring_group_id,ml_metadata
1,1,1,,120000.0,credit,Salary,Monthly Salary,SALARY CREDIT NEFT - TECHCORP INDIA - AUG2025 - REF770487,salary credit techcorp india monthly,NEFT,true,true,0.98,165000.0,2025-08-01T09:15:00Z,rule_based,csv_import,false,0.02,true,"Mumbai, MH",RG-SALARY-001,"{""month"": 8, ""day_of_week"": 4, ""hour"": 9, ""rolling_avg_spend"": 120000.0, ""category_volatility"": 0.01, ""balance_after_txn"": 165000.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 0.0, ""daily_txn_freq"": 1.39, ""avg_spend_per_category"": 131594.42, ""spend_std_dev"": 33600.0, ""expense_volatility"": 1.0, ""is_odd_hour"": 0}"
2,1,1,,22000.0,debit,Rent,Monthly Rent,NEFT TO LANDLORD RAJESH KUMAR - RENT AUG2025 - REF356787,rent payment landlord monthly,NEFT,true,true,0.97,143000.0,2025-08-02T10:00:00Z,rule_based,csv_import,false,0.03,true,"Mumbai, MH",RG-RENT-001,"{""month"": 8, ""day_of_week"": 5, ""hour"": 10, ""rolling_avg_spend"": 22000.0, ""category_volatility"": 0.0, ""balance_after_txn"": 143000.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 0.0, ""daily_txn_freq"": 1.78, ""avg_spend_per_category"": 24080.95, ""spend_std_dev"": 6160.0, ""expense_volatility"": 0.0, ""is_odd_hour"": 0}"
3,1,1,16,10000.0,debit,Investments,Mutual Fund SIP,SBI MUTUAL FUND SIP AUTO DEBIT - AUG2025 - FOLIO12345,sbi mutual fund sip auto debit monthly,Auto-Debit,true,true,0.97,133000.0,2025-08-05T10:30:00Z,rule_based,csv_import,false,0.02,true,"Mumbai, MH",RG-SIP-001,"{""month"": 8, ""day_of_week"": 1, ""hour"": 10, ""rolling_avg_spend"": 5000.0, ""category_volatility"": 0.04, ""balance_after_txn"": 133000.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 3.3333, ""daily_txn_freq"": 3.37, ""avg_spend_per_category"": 5784.36, ""spend_std_dev"": 1400.0, ""expense_volatility"": 4.0, ""is_odd_hour"": 0}"
4,1,1,5,599.0,debit,Utilities,Mobile Recharge,JIO PREPAID RECHARGE UPI 06082025 REF2458591,jio prepaid recharge monthly,UPI,false,true,0.95,132401.0,2025-08-06T11:00:00Z,rule_based,csv_import,false,0.04,false,"Mumbai, MH",RG-JIO-001,"{""month"": 8, ""day_of_week"": 2, ""hour"": 11, ""rolling_avg_spend"": 600.0, ""category_volatility"": 0.08, ""balance_after_txn"": 132401.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": -0.0056, ""daily_txn_freq"": 3.07, ""avg_spend_per_category"": 487.63, ""spend_std_dev"": 168.0, ""expense_volatility"": 8.0, ""is_odd_hour"": 0}"
5,1,1,7,649.0,debit,Entertainment,Streaming,NETFLIX INDIA PVT LTD AUTO DEBIT 08082025,netflix india subscription monthly,Auto-Debit,false,true,0.96,131752.0,2025-08-08T14:00:00Z,rule_based,csv_import,false,0.03,false,"Mumbai, MH",RG-NETFLIX-001,"{""month"": 8, ""day_of_week"": 4, ""hour"": 14, ""rolling_avg_spend"": 300.0, ""category_volatility"": 0.35, ""balance_after_txn"": 131752.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 3.8778, ""daily_txn_freq"": 1.33, ""avg_spend_per_category"": 267.92, ""spend_std_dev"": 84.0, ""expense_volatility"": 35.0, ""is_odd_hour"": 0}"
6,1,1,6,999.0,debit,Utilities,Broadband,AIRTEL BROADBAND MONTHLY BILL AUG2025 REF731262,airtel broadband monthly bill,Auto-Debit,false,true,0.95,130753.0,2025-08-10T09:30:00Z,rule_based,csv_import,false,0.03,false,"Mumbai, MH",RG-AIRTEL-001,"{""month"": 8, ""day_of_week"": 6, ""hour"": 9, ""rolling_avg_spend"": 600.0, ""category_volatility"": 0.08, ""balance_after_txn"": 130753.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 2.2167, ""daily_txn_freq"": 1.09, ""avg_spend_per_category"": 527.72, ""spend_std_dev"": 168.0, ""expense_volatility"": 8.0, ""is_odd_hour"": 0}"
7,1,1,23,119.0,debit,Entertainment,Music Streaming,SPOTIFY INDIA MUSIC SUBSCRIPTION 12082025,spotify india music subscription,Auto-Debit,false,true,0.95,130634.0,2025-08-12T10:00:00Z,rule_based,csv_import,false,0.03,false,"Mumbai, MH",RG-SPOTIFY-001,"{""month"": 8, ""day_of_week"": 1, ""hour"": 10, ""rolling_avg_spend"": 300.0, ""category_volatility"": 0.35, ""balance_after_txn"": 130634.0, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": -2.0111, ""daily_txn_freq"": 3.27, ""avg_spend_per_category"": 305.39, ""spend_std_dev"": 84.0, ""expense_volatility"": 35.0, ""is_odd_hour"": 0}"
8,1,1,1,588.4,debit,Food & Dining,Restaurant,SWIGGY ORDER* 1234567 15082025 TXN456778,swiggy food order,Card,false,false,0.8233,130045.6,2025-08-15T19:17:00Z,ml_model,csv_import,false,0.0455,false,"Mumbai, MH",,"{""month"": 8, ""day_of_week"": 4, ""hour"": 19, ""rolling_avg_spend"": 350.0, ""category_volatility"": 0.42, ""balance_after_txn"": 130045.6, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 2.2705, ""daily_txn_freq"": 1.32, ""avg_spend_per_category"": 293.54, ""spend_std_dev"": 98.0, ""expense_volatility"": 42.0, ""is_odd_hour"": 0}"
9,1,1,2,620.78,debit,Food & Dining,Restaurant,ZOMATO* ORDER 9876543 28082025 TXN182627,zomato food order,Card,false,false,0.9244,129424.82,2025-08-28T13:38:00Z,ml_model,csv_import,false,0.1058,false,"Mumbai, MH",,"{""month"": 8, ""day_of_week"": 3, ""hour"": 13, ""rolling_avg_spend"": 350.0, ""category_volatility"": 0.42, ""balance_after_txn"": 129424.82, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 2.5789, ""daily_txn_freq"": 3.47, ""avg_spend_per_category"": 286.42, ""spend_std_dev"": 98.0, ""expense_volatility"": 42.0, ""is_odd_hour"": 0}"
10,1,1,1,653.06,debit,Food & Dining,Restaurant,SWIGGY ORDER* 1234567 08082025 TXN766563,swiggy food order,Card,false,false,0.8244,128771.76,2025-08-08T21:18:00Z,ml_model,csv_import,false,0.0808,false,"Mumbai, MH",,"{""month"": 8, ""day_of_week"": 4, ""hour"": 21, ""rolling_avg_spend"": 350.0, ""category_volatility"": 0.42, ""balance_after_txn"": 128771.76, ""monthly_surplus_estimate"": 36000.0, ""amount_z_score"": 2.8863, ""daily_txn_freq"": 3.35, ""avg_spend_per_category"": 378.25, ""spend_std_dev"": 98.0, ""expense_volatility"": 42.0, ""is_odd_hour"": 0}"
